,id_x,object_id_x,degree_type,subject,institution,graduated_at,object_id_numeric,id_y,funding_round_id,object_id_y,funded_at,funding_round_type,funding_round_code,raised_amount_usd,pre_money_valuation_usd,post_money_valuation_usd,participants,is_first_round,is_last_round
2581,10242,p:74273,BS,financier,UFIMB,2003-01-01,74273,46721,46721,c:74273,2012-04-04,series-c+,d,3304657.0,0.0,0.0,0,1,0
2582,10243,p:50606,SOPA,Business and Marketing Strategy: Winning Action Plans,"NYU Stern School of Business, Executive Education Certificate",2010-01-01,50606,26176,26176,c:50606,2011-10-26,series-a,a,1150000.0,0.0,0.0,1,1,1
2583,10290,p:74560,MBA,Finance & Strategy,"Northwestern University, Kellogg School of Management",1991-01-01,74560,22639,22639,c:74560,2010-05-01,venture,unattributed,0.0,0.0,0.0,0,1,1
2584,10291,p:74560,BS,Finance,Pennsylvania State University,1986-01-01,74560,22639,22639,c:74560,2010-05-01,venture,unattributed,0.0,0.0,0.0,0,1,1
2585,10301,p:75157,BS,Advertising,University of Puerto Rico,2005-01-01,75157,23499,23499,c:75157,2011-06-09,venture,unattributed,4000000.0,0.0,0.0,1,1,1
2586,10302,p:75157,MS,Mass Communications and Journalism,Florida International University,2007-01-01,75157,23499,23499,c:75157,2011-06-09,venture,unattributed,4000000.0,0.0,0.0,1,1,1
2587,10303,p:75157,Masters Certificate,Internet Marketing,University of San Francisco (USF),2010-01-01,75157,23499,23499,c:75157,2011-06-09,venture,unattributed,4000000.0,0.0,0.0,1,1,1
2588,10318,p:76102,BS,Entrepreneurship,Indiana University,1999-01-01,76102,33464,33464,c:76102,2012-10-30,venture,unattributed,1500000.0,0.0,0.0,2,1,1
2589,10319,p:76102,Masters Cert.,Internet Marketing,University of San Francisco (USF),2009-01-01,76102,33464,33464,c:76102,2012-10-30,venture,unattributed,1500000.0,0.0,0.0,2,1,1
2590,10327,p:76125,AS,natural sciences,UCM-UNMCMBD,2007-01-01,76125,43889,43889,c:76125,2010-12-01,series-b,b,6000000.0,0.0,0.0,4,1,1
2591,10333,p:76159,Engineer Degree,Finance & Management Science,Stanford University,2002-01-01,76159,22979,22979,c:76159,2011-05-12,venture,unattributed,2000000.0,0.0,0.0,1,1,1
2592,10334,p:76159,MS,Economic Systems,Stanford University,1994-01-01,76159,22979,22979,c:76159,2011-05-12,venture,unattributed,2000000.0,0.0,0.0,1,1,1
2593,10335,p:76159,MS,Applied Physics,Delft,1992-01-01,76159,22979,22979,c:76159,2011-05-12,venture,unattributed,2000000.0,0.0,0.0,1,1,1
2594,10346,p:76229,Electrical Engineering,Concentration: Computer Science; Minor: Management,McGill University,1994-01-01,76229,34917,34917,c:76229,2013-01-18,series-a,angel,3100000.0,0.0,0.0,0,1,1
2595,10351,p:70146,MS,Film & Animation,CalArts,2006-01-01,70146,21712,21712,c:70146,2010-01-01,venture,unattributed,500000.0,0.0,0.0,0,1,1
2596,10352,p:70146,BA,Telecommunications,Ball State University,2000-01-01,70146,21712,21712,c:70146,2010-01-01,venture,unattributed,500000.0,0.0,0.0,0,1,1
2597,10367,p:76306,MS,Environmental Remote Sensing,University of Aberdeen,2001-01-01,76306,22999,22999,c:76306,2010-02-07,angel,angel,465744.0,0.0,0.0,0,1,1
2598,10368,p:76306,BENG,Electronic and Electrical Engineering,University of Aberdeen,2000-01-01,76306,22999,22999,c:76306,2010-02-07,angel,angel,465744.0,0.0,0.0,0,1,1
2599,10392,p:24363,MBA,Entrepreneurship and Finance,NYU Stern School of Business,2005-01-01,24363,6413,6413,c:24363,2008-05-06,venture,unattributed,3820000.0,0.0,0.0,1,0,0
2600,10392,p:24363,MBA,Entrepreneurship and Finance,NYU Stern School of Business,2005-01-01,24363,15035,15035,c:24363,2006-01-30,venture,unattributed,1550000.0,0.0,0.0,1,0,1
2601,10393,p:24363,Engineering,Nuclear Sciences,Ecole Centrale Marseille,1997-01-01,24363,6413,6413,c:24363,2008-05-06,venture,unattributed,3820000.0,0.0,0.0,1,0,0
2602,10393,p:24363,Engineering,Nuclear Sciences,Ecole Centrale Marseille,1997-01-01,24363,15035,15035,c:24363,2006-01-30,venture,unattributed,1550000.0,0.0,0.0,1,0,1
2603,10394,p:73060,BS,Mathematics,Novosibirsk State University,2004-01-01,73060,22325,22325,c:73060,2011-02-03,angel,seed,9500.0,0.0,0.0,0,1,1
2604,10395,p:75196,Medical Doctor,,Medical University Vienna,2008-01-01,75196,28046,28046,c:75196,2012-01-31,angel,seed,0.0,0.0,0.0,3,0,1
2605,10395,p:75196,Medical Doctor,,Medical University Vienna,2008-01-01,75196,33655,33655,c:75196,2013-09-05,series-a,a,4000000.0,0.0,0.0,7,1,0
2606,10395,p:75196,Medical Doctor,,Medical University Vienna,2008-01-01,75196,53183,53183,c:75196,2012-10-01,venture,unattributed,3219000.0,0.0,0.0,1,0,0
2607,10395,p:75196,Medical Doctor,,Medical University Vienna,2008-01-01,75196,55199,55199,c:75196,2013-09-05,angel,seed,700000.0,0.0,0.0,3,1,0
2608,10426,p:76640,Professional,MCA,U. P. Tech University Lucknow,2006-01-01,76640,23666,23666,c:76640,2011-03-08,angel,seed,200000.0,0.0,0.0,2,0,1
2609,10426,p:76640,Professional,MCA,U. P. Tech University Lucknow,2006-01-01,76640,29654,29654,c:76640,2012-04-09,angel,seed,250000.0,0.0,0.0,4,0,0
2610,10426,p:76640,Professional,MCA,U. P. Tech University Lucknow,2006-01-01,76640,34228,34228,c:76640,2012-10-31,angel,seed,260000.0,0.0,0.0,6,1,0
2611,10433,p:76702,MBA,,Babson College,2009-01-01,76702,28350,28350,c:76702,2012-02-22,series-a,a,3200000.0,0.0,0.0,4,0,1
2612,10433,p:76702,MBA,,Babson College,2009-01-01,76702,45786,45786,c:76702,2013-08-16,series-b,b,13300000.0,0.0,0.0,5,1,0
2613,10434,p:76702,MA,Psychology,New York University (NYU),2004-01-01,76702,28350,28350,c:76702,2012-02-22,series-a,a,3200000.0,0.0,0.0,4,0,1
2614,10434,p:76702,MA,Psychology,New York University (NYU),2004-01-01,76702,45786,45786,c:76702,2013-08-16,series-b,b,13300000.0,0.0,0.0,5,1,0
2615,10435,p:51488,BA,"English, Communications","University of California, Davis (UCD)",2000-01-01,51488,16824,16824,c:51488,2010-06-07,venture,unattributed,2990000.0,0.0,0.0,6,1,1
2616,10436,p:51488,Certificate,Professional Sequence in Editing,"University of California, Berkeley",2002-01-01,51488,16824,16824,c:51488,2010-06-07,venture,unattributed,2990000.0,0.0,0.0,6,1,1
2617,10438,p:75327,MBA,Finance,Wharton Graduate School of Business,1983-01-01,75327,22778,22778,c:75327,2011-05-03,venture,unattributed,2100000.0,0.0,0.0,0,0,1
2618,10438,p:75327,MBA,Finance,Wharton Graduate School of Business,1983-01-01,75327,41199,41199,c:75327,2013-01-03,venture,partial,202634.0,0.0,0.0,0,1,0
2619,10439,p:75327,BA,History,Middlebury College,1977-01-01,75327,22778,22778,c:75327,2011-05-03,venture,unattributed,2100000.0,0.0,0.0,0,0,1
2620,10439,p:75327,BA,History,Middlebury College,1977-01-01,75327,41199,41199,c:75327,2013-01-03,venture,partial,202634.0,0.0,0.0,0,1,0
2621,10471,p:76973,BS,"General Engineering, Technology Entrepreneurship",University of Illinois at Urbana-Champaign,2006-01-01,76973,23103,23103,c:76973,2011-05-20,venture,unattributed,0.0,0.0,0.0,2,1,1
2622,10482,p:77031,BS,Journalism,"California Polytechnic State University, San Luis Obispo (Cal Po",2002-01-01,77031,48866,48866,c:77031,2012-07-05,private-equity,private_equity,250000.0,0.0,3100000.0,0,1,1
2623,10496,p:40228,BS,Applied Economics & Business Management,Cornell University,2000-01-01,40228,50905,50905,c:40228,2011-08-17,other,debt_round,12001200.0,0.0,0.0,0,0,0
2624,10511,p:77142,,law,JU,1993-01-01,77142,48101,48101,c:77142,2013-09-04,venture,partial,4657434.0,0.0,0.0,0,1,1
