,id,name,normalized_name,category_code,status,founded_at,country_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships
179950,c:68648,C3Nano,c3nano,manufacturing,operating,,USA,Hayward,SF Bay,,,0,0,2011-02-13,2012-02-15,2,9900000.0,,,0,2
179964,c:68662,amBX,ambx,software,operating,,GBR,Middlesbrough,Middlesbrough,,,0,0,2011-02-14,2011-02-14,1,1120000.0,,,0,0
179965,c:68663,Good Deal,good deal,software,operating,,ESP,Barcelona,Barcelona,,,0,0,2011-02-14,2011-02-14,1,1115520.0,,,0,0
179989,c:68688,Punchd,punchd,mobile,acquired,2011-01-01,USA,Mountain View,SF Bay,,,0,0,2011-02-14,2011-02-14,1,50000.0,2010-01-01,2012-12-14,3,4
180017,c:68716,Symphony Commerce (formerly Sneakpeeq),symphony commerce formerly sneakpeeq,ecommerce,operating,2010-11-15,USA,San Francisco,SF Bay,,,0,0,2011-04-08,2013-07-12,4,17544997.0,2011-01-01,2012-09-18,2,5
180018,c:68717,OriginOil,originoil,manufacturing,operating,,USA,Los Angeles,Los Angeles,,,0,0,2012-01-06,2012-02-02,2,558101.0,2011-01-27,2011-01-27,1,2
180024,c:68724,GiveForward,giveforward,nonprofit,operating,2008-01-01,USA,Chicago,Chicago,,,0,0,2010-06-01,2012-07-25,3,2515000.0,2012-07-25,2013-01-01,3,7
180041,c:6874,Informative,informative,,acquired,1999-01-01,USA,South San Francisco,SF Bay,,,0,0,2007-03-01,2007-03-01,1,1500000.0,2001-01-01,2001-01-01,1,5
180055,c:68756,Luxury Fashion Trade,luxury fashion trade,fashion,operating,2008-01-01,DEU,Frankfurt,Frankfurt,,,0,0,2011-02-15,2011-02-15,1,2026500.0,,,0,0
180058,c:68759,StrikeForce Technologies,strikeforce technologies,,operating,,USA,Edison,Edison,,,0,0,2012-06-05,2012-06-05,1,382500.0,2011-02-14,2011-02-14,1,3
180096,c:68794,Ivivi Health Sciences,ivivi health sciences,medical,operating,,USA,San Francisco,SF Bay,,,0,0,2011-02-15,2011-02-15,1,9500000.0,,,0,2
180097,c:68795,VisionScope Technologies,visionscope technologies,consulting,operating,,GBR,Cambridge,London,,,0,0,2011-02-15,2011-02-15,1,6300000.0,,,0,0
180100,c:68798,Cellceutix,cellceutix,biotech,operating,,USA,Beverly,Boston,,,0,0,2012-05-10,2012-05-10,1,1000000.0,2013-09-09,2013-09-09,1,2
180104,c:68802,Cyber Interns,cyber interns,web,operating,2011-01-31,USA,Los Angeles,Los Angeles,,,0,0,2011-02-15,2011-02-15,1,50000.0,2011-01-31,2011-01-31,1,1
180108,c:68807,Airpush,airpush,advertising,operating,2010-12-01,USA,Los Angeles,Los Angeles,,,0,0,2011-01-03,2011-01-03,1,400000.0,2013-02-01,2013-10-10,3,10
180119,c:68817,Vega-Chi,vega chi,finance,operating,,GBR,London,London,,,0,0,2011-02-16,2011-02-16,1,3209407.0,,,0,1
180136,c:68834,BL Healthcare,bl healthcare,health,operating,,USA,Foxboro,Foxboro,,,0,0,2011-03-24,2011-03-24,1,5000000.0,2011-03-24,2011-08-01,2,19
180140,c:68838,SocialF5,socialf5,consulting,operating,2010-12-25,USA,Houston,Houston,,,0,0,2011-05-06,2011-05-06,1,8000.0,2011-07-01,2011-07-01,1,1
180158,c:68857,streamit,streamit,games_video,operating,2009-01-01,USA,Bend,Eugene,,,0,0,2010-08-31,2011-05-19,2,482602.0,2010-01-01,2010-01-01,1,1
180160,c:68859,Personify Inc,personify,software,operating,2009-08-04,USA,Champaign,Champaign,,,0,0,2010-11-01,2013-08-21,5,6887193.0,2009-08-01,2012-11-09,2,12
180179,c:68878,Vungle,vungle,mobile,operating,2011-01-01,USA,San Francisco,SF Bay,,,0,0,2012-05-02,2013-08-01,2,8500000.0,2012-06-19,2013-07-01,2,18
180181,c:6888,Jogli,jogli,games_video,operating,2007-01-01,ISR,Tel-Aviv,Tel Aviv,,,0,0,2007-03-01,2008-05-01,2,950000.0,,,0,2
180182,c:68880,OncoHealth,oncohealth,biotech,operating,,USA,San Jose,SF Bay,,,0,0,2011-01-01,2012-07-01,3,3450000.0,,,0,0
180183,c:68882,Mosoro,mosoro,hardware,operating,2010-01-01,USA,Golden,Denver,,,0,0,2012-01-31,2012-01-31,1,1500000.0,2012-01-01,2012-01-31,2,3
180186,c:68885,SmithsonMartin Inc.,smithsonmartin,software,operating,2010-09-01,CAN,Toronto,Toronto,,,0,0,2013-09-02,2013-09-02,1,75000.0,2010-09-15,2013-09-02,2,2
180191,c:68890,ccccccccccccc,ccccccccccccc,enterprise,operating,2010-12-01,USA,Las Vegas,Las Vegas,,,0,0,2011-03-16,2011-03-16,1,1000000.0,,,0,0
180193,c:68892,ThingWorx,thingworx,software,operating,2009-01-01,USA,Downingtown,Philadelphia,,,0,0,2011-02-16,2013-02-06,2,12999977.0,2013-01-01,2013-01-01,1,16
180204,c:68901,Crowdsourcing.org,crowdsourcing,finance,operating,2010-10-01,USA,Los Angeles,Los Angeles,,,0,0,2013-07-01,2013-07-01,1,250000.0,2009-11-01,2009-11-01,1,1
180220,c:68917,Game Closure,game closure,games_video,operating,2011-01-01,USA,Mountain View,SF Bay,,,0,0,2011-08-31,2012-02-23,2,12000000.0,2010-01-01,2013-02-14,2,4
180238,c:68934,Medgenics,medgenics,biotech,operating,,USA,San Francisco,SF Bay,,,0,0,2012-07-02,2012-07-02,1,9529196.0,2013-07-09,2013-07-09,1,1
180242,c:68939,TitanFile,titanfile,enterprise,operating,2011-01-17,CAN,Kitchener,Kitchener,,,0,0,2011-08-29,2012-10-11,2,1355828.0,2011-08-29,2012-12-01,2,5
180249,c:68945,GamesAnalytics,gamesanalytics,,operating,2010-01-01,GBR,Edinburgh,Edinburgh,,,0,0,2013-07-16,2013-07-16,1,1300000.0,2012-04-01,2012-04-01,1,2
180258,c:68955,Playhem,playhem,games_video,operating,2009-07-01,USA,San Francisco,SF Bay,,,0,0,2010-01-01,2010-07-01,2,820000.0,,,0,7
180263,c:6896,"TargetSpot, Inc.",targetspot,advertising,operating,2007-01-01,USA,New York,New York,,,0,0,2008-03-11,2011-01-11,2,16600000.0,2010-08-31,2012-11-01,4,20
180271,c:68967,Attachments.me,attachments me,software,acquired,2011-01-01,USA,San Francisco,SF Bay,,,0,0,2011-03-02,2012-04-03,2,2500000.0,2011-03-01,2013-11-11,2,10
180276,c:68972,Sensorly,sensorly,network_hosting,operating,2010-06-01,FRA,Paris,Paris,,,0,0,2013-01-10,2013-01-10,1,1311300.0,2010-06-01,2010-06-01,1,1
180285,c:68982,GreenButton,greenbutton,software,operating,2006-07-15,NZL,Wellington,Wellington,,,0,0,2010-06-10,2010-06-10,1,1500000.0,2012-02-05,2012-09-01,2,6
180296,c:68995,Lendio,lendio,finance,operating,2006-03-15,USA,South Jordan,Salt Lake City,,,0,0,2011-02-17,2013-08-28,3,12500000.0,2013-08-01,2013-08-28,2,10
